district_name,panchayat_name,ward_name
Thiruvananthapuram,Aryanad,Ward 1
Thiruvananthapuram,Aryanad,Ward 2
Thiruvananthapuram,Aryanad,Ward 3
Thiruvananthapuram,Aryanad,Ward 4
Thiruvananthapuram,Aryanad,Ward 5
Thiruvananthapuram,Aryanad,Ward 6
Thiruvananthapuram,Aryanad,Ward 7
Thiruvananthapuram,Aryanad,Ward 8
Thiruvananthapuram,Aryanad,Ward 9
Thiruvananthapuram,Aryanad,Ward 10
Thiruvananthapuram,Aryanad,Ward 11
Thiruvananthapuram,Aryanad,Ward 12
Thiruvananthapuram,Aryanad,Ward 13
Thiruvananthapuram,Aryanad,Ward 14
Thiruvananthapuram,Aryanad,Ward 15
Thiruvananthapuram,Aryanad,Ward 16
Thiruvananthapuram,Aryanad,Ward 17
Thiruvananthapuram,Aryanad,Ward 18
Thiruvananthapuram,Aryanad,Ward 19
Thiruvananthapuram,Aryanad,Ward 20
Thiruvananthapuram,Kallara,Ward 1
Thiruvananthapuram,Kallara,Ward 2
Thiruvananthapuram,Kallara,Ward 3
Thiruvananthapuram,Kallara,Ward 4
Thiruvananthapuram,Kallara,Ward 5
Thiruvananthapuram,Kallara,Ward 6
Thiruvananthapuram,Kallara,Ward 7
Thiruvananthapuram,Kallara,Ward 8
Thiruvananthapuram,Kallara,Ward 9
Thiruvananthapuram,Kallara,Ward 10
Thiruvananthapuram,Kallara,Ward 11
Thiruvananthapuram,Kallara,Ward 12
Thiruvananthapuram,Kallara,Ward 13
Thiruvananthapuram,Kallara,Ward 14
Thiruvananthapuram,Kallara,Ward 15
Thiruvananthapuram,Kallara,Ward 16
Thiruvananthapuram,Kallara,Ward 17
Thiruvananthapuram,Kallara,Ward 18
Thiruvananthapuram,Kallara,Ward 19
Thiruvananthapuram,Kallara,Ward 20
Thiruvananthapuram,Karavaram,Ward 1
Thiruvananthapuram,Karavaram,Ward 2
Thiruvananthapuram,Karavaram,Ward 3
Thiruvananthapuram,Karavaram,Ward 4
Thiruvananthapuram,Karavaram,Ward 5
Thiruvananthapuram,Karavaram,Ward 6
Thiruvananthapuram,Karavaram,Ward 7
Thiruvananthapuram,Karavaram,Ward 8
Thiruvananthapuram,Karavaram,Ward 9
Thiruvananthapuram,Karavaram,Ward 10
Thiruvananthapuram,Karavaram,Ward 11
Thiruvananthapuram,Karavaram,Ward 12
Thiruvananthapuram,Karavaram,Ward 13
Thiruvananthapuram,Karavaram,Ward 14
Thiruvananthapuram,Karavaram,Ward 15
Thiruvananthapuram,Karavaram,Ward 16
Thiruvananthapuram,Karavaram,Ward 17
Thiruvananthapuram,Karavaram,Ward 18
Thiruvananthapuram,Karavaram,Ward 19
Thiruvananthapuram,Karavaram,Ward 20
Thiruvananthapuram,Maranalloor,Ward 1
Thiruvananthapuram,Maranalloor,Ward 2
Thiruvananthapuram,Maranalloor,Ward 3
Thiruvananthapuram,Maranalloor,Ward 4
Thiruvananthapuram,Maranalloor,Ward 5
Thiruvananthapuram,Maranalloor,Ward 6
Thiruvananthapuram,Maranalloor,Ward 7
Thiruvananthapuram,Maranalloor,Ward 8
Thiruvananthapuram,Maranalloor,Ward 9
Thiruvananthapuram,Maranalloor,Ward 10
Thiruvananthapuram,Maranalloor,Ward 11
Thiruvananthapuram,Maranalloor,Ward 12
Thiruvananthapuram,Maranalloor,Ward 13
Thiruvananthapuram,Maranalloor,Ward 14
Thiruvananthapuram,Maranalloor,Ward 15
Thiruvananthapuram,Maranalloor,Ward 16
Thiruvananthapuram,Maranalloor,Ward 17
Thiruvananthapuram,Maranalloor,Ward 18
Thiruvananthapuram,Maranalloor,Ward 19
Thiruvananthapuram,Maranalloor,Ward 20
Thiruvananthapuram,Nemom,Ward 1
Thiruvananthapuram,Nemom,Ward 2
Thiruvananthapuram,Nemom,Ward 3
